No,Title,Inventors,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number,first publication date,second publication date,first publication number,second publication number,first publication country,second publication country,first filing year,earliest priority year,applicant country,first applicant,second applicant,first applicant type,second applicant type,Patent Age,patent cost,Patent Value,Market Rate,Mean Value,citations IPC
19,Vehicle charging system capable of hydrogen and electric charging,HONG SEONG HO,KR102511398B1,2022-09-20,"['B60L3/00', 'B60L53/16', 'B60L53/51', 'B60L53/54', 'B60L53/57', 'B60L58/30', 'H01M8/04082', 'H05K7/20']","['Y02T10/70 (EP)', 'Y02T10/7072 (EP)']",2023-03-20,2023-03-20,85796445,2023-03-20,,KR102511398B1,,KR,,2023,2022,KR,HOGREENAIR CO LTD [KR],,Company - Limited,Unknown,3,4000.0,4000.0,5190.485829959514,5190.485829959514,"['B60L53/10, B60L53/24, B60L53/66, H02H5/04, H02H7/18, H02M3/00, H02M7/44', 'B60L53/10, B60L53/24, B60L53/66, H02H5/04, H02H7/18, H02M3/00, H02M7/44', 'F17C11/00, H01M8/04', 'B60K15/03, B60L3/00, B60L50/72, B60L53/30, B60P3/22']"
22,Wind-light-electricity-hydrogen storage integrated charging and hydrogen charging system for expressway electric vehicle,"GUO WENLI 
GUO YEHENG 
KONG RUILEI 
LI PENGCHENG 
WANG MOLI",CN113085622A,2021-03-15,"['B60L53/31', 'B60L53/51', 'B60L53/52', 'F17C13/00', 'F17C5/06', 'F17C7/00', 'F17D1/04', 'F17D1/07', 'F17D1/20', 'H01M8/04082', 'H02J15/00']","['B60L53/31 (CN)', 'B60L53/51 (CN)', 'B60L53/52 (CN)', 'F17C13/00 (CN)', 'F17C5/06 (CN)', 'F17C7/00 (CN)', 'F17D1/04 (CN)', 'F17D1/07 (CN)', 'F17D1/20 (CN)', 'H01M8/04201 (CN)', 'H02J15/008 (CN)', 'F17C2221/012 (CN)', 'F17C2223/0123 (CN)', 'F17C2225/0123 (CN)', 'F17C2227/0157 (CN)', 'F17C2265/065 (CN)', 'Y02E60/32 (EP)', 'Y02E60/34 (EP)', 'Y02E60/36 (EP)', 'Y02E60/50 (EP)', 'Y02E70/30 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T10/72 (EP)', 'Y02T90/12 (EP)']",2021-07-09,2021-07-09,76667189,2021-07-09,,CN113085622A,,CN,,2021,2021,,HENAN HENGJU NEW ENERGY EQUIPMENT CO LTD,,Company - Limited,Unknown,4,4000.0,4000.0,5190.485829959514,5190.485829959514,"['C25B1/04, H02J7/35', 'C25B1/04, H02J7/35', 'H01M8/04089, H01M8/0656', 'B60L11/18, F02B43/10, F02B63/04, F17C11/00, F17C13/00, B60L53/31, B60L53/54', 'F03D3/04, F03D3/06', 'H02J3/32, H02J3/38', 'C25B9/04, C25B1/04, C25B15/02, H02J3/32, H02J3/38, H02J15/00, H02J3/28', 'F17C13/00, F17C13/04, F17C5/06', 'C25B9/19, H02J3/28, H02J3/38', 'C25B1/04, C25B15/00, F17B1/00, F17C13/04, F17C5/06, H02J3/28', 'F03D3/06, F03D7/06, F03D80/00', 'F01D15/10, F01K11/02, F01K7/32, F03D9/25, F03G6/06, H02J15/00, H02J3/28', 'F03D13/20, F03D3/06', 'F03D3/00, F03D80/70, F03D9/25, F16C19/10, F16C33/58', 'B60L53/51, B60L53/52, B60L53/54, B60L53/57, F03D9/00, F03D9/19, F03G6/00, F24S60/20, F24S60/30, F28D20/00, H02J1/00, H02S10/12, H02S10/20, F24S10/30, F24S30/452, H02J15/00, H02J7/35', 'E06C9/02, F03D13/20, F03D13/40, F03D80/00', 'C25B1/04, C25B9/65, F24S25/60', 'C25B1/04, C25B9/65, F17C1/00, F17C5/00, H02J15/00, H02J3/38, H02S10/12', 'H01M8/0606, H02J1/10, H02J7/34, H02J7/35']"
26,APPARATUS AND METHOD USING HYDROGEN PRESSURE IN FUEL CELL ELECTRIC VEHICLE,"MAJAROV KONSTANTIN S [US] 
O'MEARA THOMAS P [US]","US2010304228A1 
US8153309B2",2009-05-27,"['F02B63/00', 'H01M8/04', 'H01M8/06']","['F01B1/02 (EP,US)', 'F01B17/02 (EP,US)', 'H01M8/04067 (EP,US)', 'H01M8/04089 (EP,US)', 'H01M2250/20 (EP,US)', 'H01M2250/402 (EP,US)', 'H01M2250/407 (EP,US)', 'Y02B90/10 (EP,US)', 'Y02E60/50 (EP,US)', 'Y02T90/40 (EP,US)']","2010-12-02 
2012-04-10",2010-12-02,43220607,2010-12-02,2012-04-10,US2010304228A1,US8153309B2,US,US,2010,2009,US,GM GLOBAL TECH OPERATIONS INC [US] ,"MAJAROV KONSTANTIN S [US] 
O'MEARA THOMAS P [US]",Company - Incorporated/Corporation,Individual Inventor,16,1500.0,1500.0,5190.485829959514,5190.485829959514,"['H01M8/10, H01M8/02, H01M8/10', 'F04F1/00, H01M8/04, F04B43/073, F04B9/115, H01M8/04', 'H01M8/04, H01M8/12, H01M4/48', 'H01M8/18, B60L11/18, H01M8/06, H01M8/18, H01M16/00, H01M8/04', 'H01M8/06, H01M8/04, H01M8/06', 'H01M8/00, H01M8/04, H01M8/12, H01M8/18', 'H01M8/04, H01M8/12, B64D11/02, F02C6/04, H01M8/04, H01M8/12', 'H01M8/04, H01M8/06, B60L11/18, F02C6/00, H01M8/00, H01M8/04, H01M8/06, H01M8/12']"
28,HYBRID PLUG-IN BATTERY AND HYDROGEN FUEL ENGINE VEHICLE WITH SWAPPABLE HYDROGEN TANKS AND METHOD FOR MODULAR HYDROGEN STORAGE AND TRANSPORTATION AND DISTRIBUTION,WANG YONGHUA [US],"US12005772B2 
US2022402354A1",2021-06-17,"['B60K15/01', 'B60K15/03', 'F02B43/10', 'H01M10/42', 'H01M10/44', 'H01M10/46', 'H02J7/35', 'B60K15/00', 'F02B13/10']","['B60K15/00 (US)', 'B60K15/01 (EP,US)', 'B60K15/013 (EP)', 'B60K15/03 (US)', 'B60K15/03006 (EP)', 'B60K15/07 (CN)', 'B60K6/24 (CN)', 'B60K6/28 (CN)', 'B60L50/71 (EP)', 'B60L50/72 (EP)', 'B60L50/75 (EP)', 'B60L8/003 (CN)', 'F02B13/10 (US)', 'F02B43/10 (US)', 'H01M10/4257 (US)', 'H01M10/44 (US)', 'H01M10/465 (EP,US)', 'H01M50/249 (EP)', 'H01M8/04201 (EP)', 'H01M8/0656 (EP)', 'H01M8/1007 (EP)', 'H02J15/008 (EP)', 'H02J7/35 (EP,US)', 'B60K2015/03118 (CN)', 'B60K2015/03184 (EP,CN,US)', 'B60K2015/03315 (EP,CN,US)', 'C25B1/04 (EP)', 'C25B15/00 (EP)', 'F02B2043/106 (US)', 'H01M2010/4278 (US)', 'H01M2220/20 (EP,US)', 'H01M2250/20 (EP)', 'H02J2300/30 (EP)', 'H02J2310/48 (EP)', 'Y02E60/36 (US)']","2022-12-22 
2024-06-11",2022-12-22,84489982,2022-12-22,2024-06-11,US12005772B2,US2022402354A1,US,US,2022,2021,US,WANG YONGHUA [US],,Individual Inventor,Unknown,4,3500.0,3500.0,5190.485829959514,5190.485829959514,"['H01L31/00, H01L31/042', 'B60K6/20, F02M21/02, B60W20/00, F02D19/06, B60K6/20, F02M21/02']"
29,Pure electric vehicle powered by hydrogen energy,LIANG XINYAN,CN103350650A,2013-06-25,"['B60K1/00', 'B60L11/18', 'B60L15/00']","['Y02T10/70 (EP)', 'Y02T10/72 (EP)']",2013-10-16,2013-10-16,49307103,2013-10-16,,CN103350650A,,CN,,2013,2013,,CHERY AUTOMOBILE CO LTD,,Company - Limited,Unknown,12,4000.0,4000.0,5190.485829959514,5190.485829959514,"['B60K6/52, B60L11/18', 'B60L11/18, C01B3/00, C01B3/26, H01M8/04, B01B1/00, B60L11/18, C01B3/00, C01B3/34, C01B3/38, C01B3/50, H01M8/04, H01M8/06, C01B3/26', 'C01B3/32, C25B1/02, C25B5/00, B60L11/18, H01M8/0656, H01M8/0668', 'C01B3/26, H01M4/86, H01M8/02, H01M8/06, H01M8/10', '', 'B60L11/18', '', 'B60L11/00, B60L50/10, B60W10/08, B60W10/24']"
30,Charging system capable of preventing electric vehicle from moving during charging,"LU SHIMIN 
DOU WANKUN 
XU WENQING 
ZHU HONGJUN",CN108621843A,2018-05-10,['B60L3/00'],"['B60L3/00 (CN)', 'B60L53/00 (CN)', 'B60L53/60 (CN)', 'B60L2200/12 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T10/72 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)']",2018-10-09,2018-10-09,63692409,2018-10-09,,CN108621843A,,CN,,2018,2018,,JIANGSU KINGBON VEHICLE CO LTD,,Company - Limited,Unknown,7,2000.0,2000.0,5190.485829959514,5190.485829959514,"['H02J7/10', 'H02J7/00', 'H02J7/00', 'B60L1/00, B60L11/18', 'B60L3/00, B60L53/66']"
31,"ELECTRIC VEHICLE CHARGING SYSTEM USING MOBILE, FAST AND CLEAN ENERGY",CELIK AHMET OZAN [TR],WO2023146504A1,2021-01-28,"['B60L53/51', 'B60L53/66', 'B60L7/10', 'H02J7/35']","['B60L53/51 (EP)', 'B60L53/53 (EP)', 'B60L53/665 (EP)', 'B60L7/10 (EP)', 'H02J7/342 (EP)', 'H02J7/35 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)']",2023-08-03,2022-08-04,82653775,2023-08-03,,WO2023146504A1,,WO,,2023,2021,TR,ESKISEHIR TEKNIK UNIV [TR],,University/Research Institution,Unknown,4,12000.0,12000.0,5190.485829959514,5190.485829959514,"['B60L11/18, G06Q30/02, B60L53/10, B60L53/20, B60L53/51, B60L53/52, B60L58/12, H02J7/00', 'F03D9/00, H01L31/052, H02S30/20', 'B60H1/22, B60L11/18', 'H01L31/042, H02B1/46, H02B1/48', 'G06Q50/06, G06Q30/02, G06Q50/00', '']"
39,Mobile charging system for electric vehicle,XIANG HUA,CN106026340A,2016-06-17,"['H02J7/00', 'H02J7/35', 'H02S10/10', 'H02S10/12']","['H02J7/0063 (CN)', 'H02J7/35 (CN)', 'H02S10/10 (CN)', 'H02S10/12 (CN)', 'H02J2207/40 (CN)', 'Y02E10/50 (EP)']",2016-10-12,2016-10-12,57088718,2016-10-12,,CN106026340A,,CN,,2016,2016,,SHANGHAI HYDROGEN MOBILE REFORMER INSTR CO LTD,,Company - Limited,Unknown,9,2000.0,2000.0,5190.485829959514,5190.485829959514,"['B60L11/18, H02J50/12, H02J7/00', 'C01B3/38, C07C1/12, C07C29/151, C07C31/04, C07C9/04', 'C01B3/32, H01M8/04, H02J7/35, H02S10/10, H02S10/12', 'H01M8/06, H01M8/22']"
40,ELECTRIC VEHICLE CHARGING SYSTEM HAVING MOBILE CHARGER USING HYDROGEN FUEL CELL,"YOO JAE SIK [KR] 
CHOI SEONG HOON [KR]",WO2023195813A1,2022-04-08,"['B60L53/16', 'B60L53/24', 'B60L53/35', 'B60L53/54']","['B60L53/16 (EP,KR)', 'B60L53/24 (EP,KR)', 'B60L53/35 (EP,KR)', 'B60L53/54 (EP,KR)', 'B60Y2200/91 (KR)', 'Y02E60/50 (KR)', 'Y02T90/12 (KR)', 'Y02T90/14 (KR)', 'Y02T90/40 (KR)']",2023-10-12,2023-10-12,88243281,2023-10-12,,WO2023195813A1,,WO,,2023,2022,KR,INFINITE KOREA INC [KR],,Company - Incorporated/Corporation,Unknown,3,12000.0,12000.0,5190.485829959514,5190.485829959514,"['B25J11/00, B25J9/16, B60L50/50', 'B60L53/20, B60L53/50, B60L58/12, H01M16/00, H01M8/04828, H01M8/18, H02J7/34', 'B60L11/18, B60L50/10, B60L50/50', 'B60L11/18, G06Q50/30, H02J7/00', 'C25B1/04, H01M10/44, H02J7/35']"
41,Mobile electric vehicle charging system,"ZHANG RUIFENG 
WANG HAIFAN 
WU JIN 
ZHANG RUIJIE",CN106696746A,2017-01-19,"['B60L11/18', 'H02J7/00']","['B60L53/00 (CN)', 'B60L53/51 (CN)', 'B60L53/53 (CN)', 'B60L53/54 (CN)', 'H02J7/0027 (CN)', 'H02J7/0068 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T10/72 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)']",2017-05-24,2017-05-24,58909017,2017-05-24,,CN106696746A,,CN,,2017,2017,,DONGGUAN QINGXIN NEW ENERGY CO LTD,,Company - Limited,Unknown,8,2000.0,2000.0,5190.485829959514,5190.485829959514,"['H02M1/10', 'H02J7/00', 'B60L11/18, H02J7/00, H02J7/35', 'B60L11/18', 'B60L11/18, H02J7/00']"
