;CPC Symbol;Classification Title
80;D02;YARNS MECHANICAL FINISHING OF YARNS OR ROPES WARPING OR BEAMING
81;D03;WEAVING
82;D04;BRAIDING LACE-MAKING KNITTING TRIMMINGS NON-WOVEN FABRICS
83;D05;SEWING EMBROIDERING TUFTING
84;D06;TREATMENT OF TEXTILES OR THE LIKE LAUNDERING FLEXIBLE MATERIALS NOT OTHERWISE PROVIDED FOR
85;D07;ROPES CABLES OTHER THAN ELECTRIC
86;D10;INDEXING SCHEME ASSOCIATED WITH SUBLASSES OF SECTIOND, RELATING TO TEXTILES
87;D21;PAPER-MAKING PRODUCTION OF CELLULOSE
88;D99;SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION
89;E;FIXED CONSTRUCTIONS
90;E01;CONSTRUCTION OF ROADS, RAILWAYS, OR BRIDGES
91;E02;HYDRAULIC ENGINEERING FOUNDATIONS SOIL SHIFTING
92;E03;WATER SUPPLY SEWERAGE
93;E04;BUILDING
94;E05;LOCKS KEYS WINDOW OR DOOR FITTINGS SAFES
95;E06;DOORS, WINDOWS, SHUTTERS, OR ROLLER BLINDS IN GENERAL LADDERS
96;E21;EARTH OR ROCK DRILLING MINING
97;E99;SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION
98;F;MECHANICAL ENGINEERING LIGHTING HEATING WEAPONS BLASTING
99;F01;MACHINES OR ENGINES IN GENERAL ENGINE PLANTS IN GENERAL STEAM ENGINES
100;F02;COMBUSTION ENGINES HOT-GAS OR COMBUSTION-PRODUCT ENGINE PLANTS
101;F03;MACHINES OR ENGINES FOR LIQUIDS WIND, SPRING, OR WEIGHT MOTORS PRODUCING MECHANICAL POWER OR A REACTIVE PROPULSIVE THRUST, NOT OTHERWISE PROVIDED FOR
102;F04;POSITIVE - DISPLACEMENT MACHINES FOR LIQUIDS PUMPS FOR LIQUIDS OR ELASTIC FLUIDS
103;F05;INDEXING SCHEMES RELATING TO ENGINES OR PUMPS IN VARIOUS SUBCLASSES OF CLASSESF01-F04
104;F15;FLUID-PRESSURE ACTUATORS HYDRAULICS OR PNEUMATICS IN GENERAL
105;F16;ENGINEERING ELEMENTS AND UNITS GENERAL MEASURES FOR PRODUCING AND MAINTAINING EFFECTIVE FUNCTIONING OF MACHINES OR INSTALLATIONS THERMAL INSULATION IN GENERAL
106;F17;STORING OR DISTRIBUTING GASES OR LIQUIDS
107;F21;LIGHTING
108;F22;STEAM GENERATION
109;F23;COMBUSTION APPARATUS COMBUSTION PROCESSES
110;F24;HEATING RANGES VENTILATING
111;F25;REFRIGERATION OR COOLING COMBINED HEATING AND REFRIGERATION SYSTEMS HEAT PUMP SYSTEMS MANUFACTURE OR STORAGE OF ICE LIQUEFACTION SOLIDIFICATION OF GASES
112;F26;DRYING
113;F27;FURNACES KILNS OVENS RETORTS
114;F28;HEAT EXCHANGE IN GENERAL
115;F41;WEAPONS
116;F42;AMMUNITION BLASTING
117;F99;SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION
118;G;PHYSICS
119;G01;MEASURING TESTING
120;G02;OPTICS
121;G03;PHOTOGRAPHY CINEMATOGRAPHY ANALOGOUS TECHNIQUES USING WAVES OTHER THAN OPTICAL WAVES ELECTROGRAPHY HOLOGRAPHY
122;G04;HOROLOGY
123;G05;CONTROLLING REGULATING
124;G06;COMPUTING CALCULATING OR COUNTING
125;G07;CHECKING-DEVICES
126;G08;SIGNALLING
127;G09;EDUCATION CRYPTOGRAPHY DISPLAY ADVERTISING SEALS
128;G10;MUSICAL INSTRUMENTS ACOUSTICS
129;G11;INFORMATION STORAGE
130;G12;INSTRUMENT DETAILS
131;G16;INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR SPECIFIC APPLICATION FIELDS
